B.E.(eV)           Raw Intensity       Peak Sum            Background          Peak 1              Peak 2              Peak 3              difference
 533.1              147.5               142.7475            30.90832            102.906             69.03698            32.6212             4.752472 
 533.05             144.75              142.6443            30.82654            99.81018            71.88147            32.60569            2.105743 
 533                158                 142.5248            30.74688            96.55029            74.87198            32.59631            15.47519 
 532.95             142.75              142.4363            30.66959            93.19498            77.98685            32.59365            0.3136902 
 532.9              151.5               142.4069            30.59437            89.80345            81.19437            32.59785            9.093079 
 532.85             145.75              142.4446            30.52139            86.42182            84.45594            32.60964            3.305374 
 532.8              156.5               142.5343            30.45055            83.0986             87.70753            32.62923            13.96573 
 532.75             154.25              142.6389            30.38206            79.86166            90.88383            32.65752            11.6111 
 532.7              152.75              142.7002            30.31585            76.73499            93.90186            32.69511            10.04976 
 532.65             143.5               142.6423            30.25192            73.73594            96.66751            32.74273            0.857666 
 532.6              133.5               142.3766            30.1901             70.8729             99.08273            32.80121           -8.876648 
 532.55             143.75              141.8116            30.13018            68.15994            101.041             32.87101            1.9384 
 532.5              145.5               140.8615            30.07238            65.59757            102.4551            32.95352            4.638504 
 532.45             128.5               139.457             30.01672            63.1868             103.2537            33.04995           -10.95697 
 532.4              136.25              137.5542            29.96288            60.92606            103.3926            33.16129           -1.304184 
 532.35             124.25              135.1385            29.91102            58.8101             102.861             33.28934           -10.88846 
 532.3              123                 132.2376            29.8609             56.83949            101.6849            33.43502           -9.237579 
 532.25             126.25              128.9019            29.81252            55.00631            99.92034            33.60025           -2.651871 
 532.2              126                 125.2082            29.76592            53.30467            97.64841            33.78694            0.7918091 
 532.15             128.5               121.248             29.72111            51.7281             94.96501            33.9971             7.252007 
 532.1              113                 117.113             29.67813            50.26816            91.9678             34.23326           -4.112968 
 532.05             113                 112.9068            29.63669            48.92105            88.76237            34.49673            0.0932312 
 532                101.5               108.7095            29.59681            47.67792            85.43501            34.79021           -7.209534 
 531.95             104.25              104.5939            29.55825            46.53154            82.06287            35.11597           -0.3438797 
 531.9              107.25              100.6191            29.52109            45.47508            78.70959            35.47657            6.630936 
 531.85             102                 96.82669            29.48536            44.5008             75.42139            35.87522            5.173309 
 531.8              101                 93.25967            29.45098            43.60444            72.24387            36.31333            7.740326 
 531.75             102.25              89.93684            29.41792            42.77862            69.20013            36.79394            12.31316 
 531.7              88                  86.87313            29.38622            42.01752            66.30856            37.31949            1.126869 
 531.65             83.5                84.07635            29.35561            41.31538            63.58017            37.89201           -0.576355 
 531.6              88.25               81.54623            29.32599            40.66627            61.0177             38.51425            6.703773 
 531.55             86                  79.28739            29.29748            40.06701            58.62894            39.1864             6.712608 
 531.5              82.25               77.29166            29.27001            39.51235            56.40897            39.91036            4.958344 
 531.45             80.25               75.5514             29.24353            38.9982             54.35363            40.68663            4.698601 
 531.4              80.25               74.0567             29.21799            38.52081            52.45699            41.51488            6.193298 
 531.35             71.25               72.7943             29.1934             38.07635            50.70991            42.39484           -1.544296 
 531.3              77.5                71.75315            29.16959            37.66262            49.10838            43.32133            5.746849 
 531.25             74                  70.91582            29.14668            37.27645            47.64176            44.29095            3.084183 
 531.2              69.75               70.26403            29.12459            36.91533            46.30107            45.29682           -0.5140305 
 531.15             70.25               69.77699            29.10327            36.57694            45.07723            46.32935            0.4730072 
 531.1              66.25               69.43081            29.0827             36.25896            43.96002            47.37723           -3.180809 
 531.05             73.5                69.19944            29.06282            35.96029            42.94326            48.42155            4.30056 
 531                67.25               69.05257            29.04377            35.67908            42.01721            49.44383           -1.802567 
 530.95             69                  68.95699            29.02543            35.4138             41.17368            50.42036            4.301453E-02 
 530.9              66.75               68.87714            29.00783            35.16325            40.40504            51.32452           -2.127144 
 530.85             61.75               68.77589            28.99093            34.92597            39.7033             52.12848           -7.025894 
 530.8              72                  68.61672            28.97463            34.70141            39.0634             52.80118            3.383278 
 530.75             57                  68.36567            28.95914            34.48859            38.47852            53.31683           -11.36567 
 530.7              67.5                67.99345            28.94416            34.28641            37.94281            53.65257           -0.493454 
 530.65             65.75               67.47869            28.9299             34.09434            37.45138            53.79277           -1.728691 
 530.6              68.25               66.80803            28.91633            33.9115             36.99913            53.73005            1.441971 
 530.55             62.25               65.98071            28.90348            33.73774            36.58305            53.46687           -3.730713 
 530.5              67.75               65.00323            28.89125            33.57221            36.19884            53.01469            2.746765 
 530.45             59.75               63.89131            28.87974            33.41452            35.84332            52.39294           -4.141308 
 530.4              64.5                62.6665             28.8688             33.26408            35.51349            51.62653            1.833504 
 530.35             65.25               61.35258            28.85853            33.1204             35.20654            50.7427             3.897415 
 530.3              62                  59.97923            28.84893            32.98345            34.92097            49.77267            2.020767 
 530.25             59.25               58.57043            28.83994            32.85266            34.65436            48.74331            0.6795654 
 530.2              56.25               57.14938            28.83152            32.72766            34.40495            47.67982           -0.8993835 
 530.15             59.75               55.73605            28.82361            32.60809            34.17114            46.60405            4.013947 
 530.1              53                  54.34536            28.81627            32.49363            33.95142            45.53286           -1.34536 
 530.05             59.25               52.99355            28.80938            32.38414            33.74498            44.4832             6.256447 
 530                59.75               51.68885            28.80305            32.27939            33.55062            43.46495            8.061146 
 529.95             55                  50.43827            28.7973             32.17916            33.36744            42.48627            4.561729 
 529.9              48.5                49.24636            28.79204            32.08315            33.19451            41.55278           -0.7463608 
 529.85             57.75               48.11444            28.78714            31.99095            33.03079            40.66698            9.635563 
 529.8              53.25               47.04666            28.78277            31.90275            32.87616            39.83328            6.203342 
 529.75             44.75               46.04158            28.77886            31.81821            32.72976            39.05133           -1.29158 
 529.7              52.25               45.09822            28.77525            31.73701            32.59089            38.32082            7.151775 
 529.65             47.25               44.21519            28.77207            31.65913            32.45918            37.64101            3.034813 
 529.6              43.75               43.38939            28.76924            31.58426            32.33397            37.00963            0.360611 
 529.55             42                  42.62038            28.76668            31.51238            32.21508            36.42628           -0.6203766 
 529.5              39.75               41.90442            28.76437            31.44323            32.10194            35.88797           -2.154415 
 529.45             42                  41.23866            28.76226            31.37667            31.99419            35.39232            0.7613373 
 529.4              45                  40.62023            28.7604             31.31262            31.89153            34.93687            4.379772 
 529.35             44                  40.04556            28.75883            31.25096            31.79364            34.51862            3.954445 
 529.3              36                  39.51305            28.75756            31.19173            31.70044            34.13599           -3.513046 
 529.25             36.25               39.01894            28.75641            31.13461            31.61142            33.78574           -2.768944 
 529.2              38.25               38.56042            28.75541            31.07951            31.52636            33.46536           -0.310421 
 529.15             34.75               38.13478            28.75458            31.02639            31.44508            33.17247           -3.384781 
 529.1              33.75               37.7389             28.75386            30.97504            31.36722            32.90435           -3.988895 
 529.05             30.25               37.37125            28.75323            30.9255             31.29276            32.65945           -7.12125 
 529                33.75               37.02895            28.75263            30.87757            31.22137            32.43527           -3.278946 
 528.95             30.5                36.70989            28.75213            30.83125            31.15296            32.22994           -6.209892 
 528.9              34.75               36.41202            28.75166            30.78641            31.0873             32.04162           -1.662018 
 528.85             33                  36.13322            28.75129            30.74302            31.02426            31.86852           -3.133217 
 528.8              34.5                35.87244            28.75101            30.7011             30.96383            31.70953           -1.372437 
 528.75             26.5                35.62781            28.75084            30.66056            30.90584            31.56308           -9.127808 
 528.7              29.75               35.39777            28.75062            30.6212             30.85001            31.42779           -5.647766 
 528.65             29.25               35.18111            28.75042            30.58305            30.7963             31.30259           -5.931114 
 528.6              29.5                34.97643            28.75023            30.546              30.74454            31.18635           -5.476425 
 528.55             31                  34.78319            28.75005            30.51009            30.69475            31.07845           -3.783188 
 528.5              32                  34.60023            28.74992            30.47527            30.64681            30.97799           -2.600231 
 528.45             34                  34.42675            28.74984            30.44152            30.60065            30.88427           -0.4267502 
 528.4              29.25               34.26205            28.74987            30.40883            30.55624            30.7967            -5.012047 
 528.35             27                  34.10515            28.7499             30.37705            30.51335            30.71455           -7.105152 
 528.3              30                  33.95583            28.7499             30.34617            30.47197            30.63748           -3.955826 
 528.25             28.25               33.81339            28.74992            30.31617            30.43204            30.56502           -5.563385 
 528.2              30.5                33.67732            28.74994            30.287              30.39346            30.49673           -3.177322 
 528.15             28.25               33.54724            28.74998            30.25867            30.35622            30.43232           -5.297241 
 528.1              25.75               33.42256            28.75002            30.23106            30.32017            30.37137           -7.672558 
 528.05             29.75               33.30318            28.75               30.20418            30.28529            30.31371           -3.553177 
 528                28.75               33.1887             28.75               30.17804            30.25157            30.25909           -4.438698 
 527.95             31.75 
 527.9              28 
 527.85             27.25 
 527.8              25.5 
 527.75             30 
 527.7              26.25 
 527.65             24 
 527.6              25.25 
 527.55             24.75 
 527.5              28.75 
 527.45             30 
 527.4              25.5 
 527.35             30 
 527.3              26.5 
 527.25             29.25 
 527.2              26.5 
 527.15             29.5 
 527.1              24.25 
 527.05             24.75 
 527                28.75 
